Match_ID,Date,Time,Team_A,Team_B,Venue,Weather,Toss_Winner,Toss_Decision,Outcome
M0001,2023-01-31,15:00,"Player85, Player56, Player67, Player68, Player46, Player40, Player23, Player45, Player11, Player1, Player19","Player80, Player38, Player66, Player55, Player16, Player21, Player100, Player26, Player57, Player18, Player60",Newlands,Humid,Team_A,Bat,Team_A_Wins
M0002,2023-02-27,16:00,"Player27, Player47, Player100, Player63, Player29, Player13, Player95, Player94, Player10, Player64, Player22","Player70, Player41, Player45, Player34, Player43, Player77, Player83, Player80, Player91, Player36, Player55",Lord’s,Rainy,Team_B,Bowl,Team_A_Wins
M0003,2021-01-04,14:00,"Player18, Player77, Player44, Player93, Player6, Player21, Player15, Player65, Player59, Player35, Player7","Player22, Player15, Player48, Player20, Player46, Player81, Player51, Player44, Player27, Player32, Player4",Newlands,Humid,Team_B,Bat,Team_A_Wins
M0004,2024-04-03,18:00,"Player4, Player86, Player42, Player48, Player34, Player84, Player29, Player85, Player55, Player22, Player35","Player28, Player70, Player63, Player35, Player66, Player64, Player19, Player75, Player8, Player93, Player83",Newlands,Humid,Team_B,Bat,Team_A_Wins
M0005,2023-11-27,16:00,"Player33, Player65, Player94, Player86, Player31, Player77, Player74, Player16, Player24, Player41, Player11","Player53, Player64, Player7, Player29, Player78, Player25, Player82, Player34, Player28, Player22, Player89",Lord’s,Rainy,Team_B,Bowl,Draw
M0006,2021-08-23,20:00,"Player86, Player35, Player3, Player75, Player88, Player83, Player9, Player16, Player74, Player19, Player41","Player75, Player10, Player97, Player88, Player76, Player93, Player5, Player31, Player66, Player4, Player3",MCG,Humid,Team_A,Bat,Draw
M0007,2024-12-28,13:00,"Player40, Player96, Player84, Player80, Player99, Player53, Player81, Player39, Player31, Player15, Player21","Player13, Player66, Player76, Player44, Player50, Player38, Player60, Player4, Player73, Player49, Player61",MCG,Humid,Team_A,Bat,Team_A_Wins
M0008,2022-09-07,17:00,"Player68, Player22, Player65, Player85, Player54, Player38, Player83, Player23, Player71, Player27, Player2","Player72, Player66, Player12, Player30, Player96, Player2, Player100, Player83, Player51, Player43, Player39",Newlands,Humid,Team_A,Bowl,Team_A_Wins
M0009,2022-12-05,12:00,"Player8, Player43, Player48, Player18, Player62, Player73, Player49, Player9, Player54, Player87, Player44","Player5, Player43, Player4, Player62, Player19, Player92, Player37, Player73, Player56, Player82, Player51",Wankhede,Cloudy,Team_A,Bat,Team_B_Wins
M0010,2021-04-03,15:00,"Player71, Player11, Player46, Player57, Player63, Player62, Player92, Player84, Player89, Player68, Player27","Player38, Player72, Player3, Player4, Player87, Player46, Player92, Player54, Player75, Player51, Player42",Eden Gardens,Cloudy,Team_B,Bat,Team_B_Wins
M0011,2023-08-03,16:00,"Player76, Player84, Player51, Player7, Player50, Player30, Player94, Player53, Player17, Player22, Player45","Player53, Player85, Player98, Player41, Player12, Player51, Player29, Player50, Player59, Player23, Player73",Newlands,Cloudy,Team_B,Bowl,Team_B_Wins
M0012,2024-08-26,14:00,"Player24, Player26, Player43, Player87, Player65, Player33, Player10, Player95, Player86, Player46, Player82","Player97, Player37, Player50, Player27, Player51, Player1, Player93, Player17, Player44, Player40, Player24",Eden Gardens,Sunny,Team_A,Bowl,Team_A_Wins
M0013,2022-03-30,15:00,"Player83, Player16, Player49, Player6, Player30, Player69, Player20, Player59, Player91, Player80, Player44","Player4, Player19, Player98, Player57, Player55, Player59, Player63, Player39, Player1, Player90, Player94",Wankhede,Rainy,Team_A,Bowl,Team_A_Wins
M0014,2020-05-15,19:00,"Player2, Player32, Player99, Player57, Player8, Player55, Player50, Player25, Player33, Player23, Player47","Player8, Player33, Player48, Player34, Player17, Player43, Player84, Player85, Player23, Player94, Player40",Wankhede,Sunny,Team_A,Bat,Team_A_Wins
M0015,2021-09-20,15:00,"Player30, Player1, Player31, Player44, Player88, Player50, Player45, Player62, Player13, Player36, Player37","Player42, Player83, Player80, Player90, Player14, Player57, Player74, Player10, Player78, Player76, Player58",Newlands,Rainy,Team_A,Bat,Team_A_Wins
M0016,2024-08-04,15:00,"Player10, Player34, Player15, Player85, Player27, Player43, Player18, Player67, Player92, Player93, Player75","Player15, Player30, Player18, Player3, Player85, Player74, Player87, Player59, Player10, Player2, Player91",Lord’s,Rainy,Team_B,Bowl,Team_B_Wins
M0017,2024-10-26,14:00,"Player37, Player17, Player13, Player31, Player52, Player59, Player88, Player22, Player72, Player50, Player94","Player58, Player16, Player9, Player10, Player20, Player55, Player83, Player43, Player60, Player91, Player38",Lord’s,Rainy,Team_B,Bowl,Team_A_Wins
M0018,2022-03-30,17:00,"Player74, Player71, Player18, Player96, Player97, Player93, Player56, Player46, Player17, Player98, Player57","Player60, Player7, Player51, Player68, Player37, Player84, Player45, Player98, Player74, Player79, Player16",MCG,Sunny,Team_A,Bowl,Team_B_Wins
M0019,2021-09-23,18:00,"Player55, Player59, Player19, Player43, Player64, Player62, Player32, Player5, Player39, Player27, Player53","Player70, Player39, Player46, Player92, Player65, Player30, Player61, Player90, Player36, Player68, Player35",Wankhede,Cloudy,Team_A,Bowl,Team_B_Wins
M0020,2023-06-29,19:00,"Player12, Player31, Player91, Player95, Player57, Player72, Player5, Player73, Player49, Player15, Player38","Player54, Player96, Player87, Player17, Player33, Player2, Player50, Player44, Player97, Player58, Player85",Eden Gardens,Sunny,Team_A,Bowl,Team_A_Wins
M0021,2021-05-19,12:00,"Player11, Player38, Player17, Player9, Player31, Player28, Player82, Player61, Player46, Player59, Player100","Player51, Player92, Player77, Player85, Player60, Player87, Player83, Player80, Player84, Player32, Player23",Lord’s,Humid,Team_A,Bat,Team_B_Wins
M0022,2022-05-17,13:00,"Player21, Player70, Player29, Player56, Player22, Player87, Player62, Player86, Player2, Player60, Player81","Player34, Player87, Player31, Player10, Player19, Player48, Player70, Player64, Player91, Player94, Player99",MCG,Rainy,Team_B,Bowl,Team_A_Wins
M0023,2022-10-16,14:00,"Player41, Player51, Player27, Player68, Player38, Player10, Player89, Player98, Player4, Player45, Player80","Player86, Player81, Player53, Player14, Player100, Player24, Player57, Player84, Player82, Player87, Player5",Wankhede,Cloudy,Team_A,Bowl,Team_A_Wins
M0024,2024-04-12,19:00,"Player62, Player7, Player42, Player9, Player23, Player93, Player74, Player99, Player90, Player100, Player87","Player6, Player42, Player51, Player66, Player1, Player100, Player31, Player86, Player73, Player80, Player70",Newlands,Rainy,Team_B,Bat,Team_B_Wins
M0025,2022-12-30,13:00,"Player58, Player78, Player74, Player47, Player30, Player51, Player81, Player63, Player77, Player53, Player66","Player40, Player74, Player9, Player29, Player98, Player79, Player12, Player55, Player71, Player35, Player44",Wankhede,Cloudy,Team_A,Bat,Team_A_Wins
M0026,2024-09-13,12:00,"Player47, Player7, Player25, Player52, Player51, Player67, Player20, Player69, Player5, Player68, Player77","Player90, Player7, Player36, Player33, Player35, Player43, Player83, Player16, Player51, Player17, Player32",Newlands,Sunny,Team_B,Bat,Team_A_Wins
M0027,2021-03-04,17:00,"Player33, Player92, Player46, Player80, Player51, Player84, Player74, Player41, Player87, Player21, Player10","Player52, Player78, Player8, Player37, Player36, Player26, Player76, Player24, Player82, Player20, Player54",MCG,Cloudy,Team_A,Bat,Team_B_Wins
M0028,2020-03-12,18:00,"Player39, Player1, Player66, Player65, Player79, Player59, Player89, Player24, Player94, Player73, Player53","Player23, Player3, Player61, Player6, Player74, Player78, Player87, Player44, Player45, Player18, Player5",MCG,Humid,Team_B,Bowl,Team_B_Wins
